SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,num_services,charge_per_service,is_new_customer,no_support,gender_Male,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_bucket_Mid,tenure_bucket_New
0,1,1,65,1,0,94.55,6078.75,5,15.758333333333333,0,0,True,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False
0,0,0,26,0,0,35.75,1022.5,2,11.916666666666666,0,0,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False
0,1,0,68,1,0,90.2,6297.65,4,18.04,0,0,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False
0,0,0,3,1,0,84.3,235.05,3,21.075,1,1,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
0,1,0,49,0,0,40.65,2070.75,2,13.55,0,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1,1,0,64,1,0,97.0,6430.9,5,16.166666666666668,0,0,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False
0,0,0,7,1,0,64.3,445.95,4,12.86,1,0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True
0,0,0,22,1,1,93.2,2157.3,4,18.64,0,1,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False
0,1,1,31,1,0,54.35,1647.0,3,13.5875,0,0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False
0,0,0,6,0,1,47.95,305.1,3,11.9875,1,1,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True
0,0,1,1,1,1,19.2,19.2,1,9.6,1,0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True
0,0,0,6,1,1,79.05,434.5,2,26.35,1,0,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
0,0,0,12,1,1,79.8,1001.2,2,26.6,1,0,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
0,1,0,61,1,1,106.35,6751.35,5,17.724999999999998,0,0,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False
0,0,0,43,1,1,19.65,779.25,1,9.825,0,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False
1,0,0,30,0,1,40.3,1172.95,2,13.433333333333332,0,1,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False
0,0,0,22,1,1,55.15,1193.05,3,13.7875,0,0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False
0,1,1,52,1,0,23.05,1255.1,1,11.525,0,0,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False
0,0,0,1,1,1,56.25,56.25,2,18.75,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
0,0,0,57,1,0,94.7,5468.95,4,18.94,0,0,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False
0,1,0,72,0,1,54.2,3937.45,4,10.84,0,1,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False
0,0,0,42,1,1,103.8,4327.5,6,14.828571428571427,0,0,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False
0,1,1,15,1,0,19.8,272.95,1,9.9,0,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False
0,1,1,64,1,0,81.05,5135.35,3,20.2625,0,0,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1,1,1,47,1,1,84.95,4018.05,3,21.2375,0,1,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
0,1,1,2,0,0,29.05,44.75,1,14.525,1,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
0,0,0,1,1,0,20.2,20.2,1,10.1,1,0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True
0,0,0,1,1,1,50.7,50.7,2,16.900000000000002,1,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
0,1,1,72,1,1,113.1,8248.5,7,14.1375,0,0,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False
0,1,1,32,1,0,89.6,2901.8,3,22.4,0,0,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
1,1,0,1,1,1,74.45,74.45,1,37.225,1,1,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
0,1,0,71,0,1,47.6,3377.8,4,9.52,0,0,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
0,1,1,15,1,0,75.1,1151.55,2,25.03333333333333,0,0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
0,1,0,47,1,1,95.2,4563.0,3,23.8,0,1,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False
0,1,1,34,1,1,97.7,3410.0,4,19.54,0,1,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False
0,1,1,50,1,1,103.85,5017.9,5,17.308333333333334,0,1,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False
0,0,0,10,1,0,20.0,198.7,1,10.0,1,0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,True
1,0,0,8,1,1,92.1,729.95,4,18.42,1,1,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True
0,1,1,23,1,0,19.65,436.9,1,9.825,0,0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False
0,0,0,7,1,1,74.9,490.55,2,24.96666666666667,1,1,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
