churn_probability,actual_churn,top_risk_factors,tenure,MonthlyCharges,TotalCharges,Contract,InternetService,risk_tier,expected_remaining_months,CLV,priority_score,priority_rank
0.990122,1,"charge_per_service, TotalCharges, tenure",2,95.5,181.65,Month-to-month,Fiber optic,HIGH,30.421786120591584,2905.28,2876.58,1
0.9474694,1,"tenure, PaymentMethod_Electronic check, charge_per_service",3,89.85,248.4,Month-to-month,Fiber optic,HIGH,29.421786120591584,2643.55,2504.68,2
0.8764075,1,"StreamingMovies_Yes, charge_per_service, PaymentMethod_Electronic check",2,90.4,168.2,Month-to-month,Fiber optic,HIGH,30.421786120591584,2750.13,2410.23,3
0.74525505,0,"charge_per_service, PaymentMethod_Electronic check, OnlineBackup_Yes",3,107.95,313.6,Month-to-month,Fiber optic,HIGH,29.421786120591584,3176.08,2366.99,4
0.9250758,1,"charge_per_service, PaymentMethod_Electronic check, num_services",2,82.0,184.65,Month-to-month,Fiber optic,HIGH,30.421786120591584,2494.59,2307.68,5
0.93764216,1,"tenure, PaymentMethod_Electronic check, charge_per_service",2,80.15,194.55,Month-to-month,Fiber optic,HIGH,30.421786120591584,2438.31,2286.26,6
0.9413337,1,"charge_per_service, num_services, PaymentMethod_Electronic check",4,84.8,371.9,Month-to-month,Fiber optic,HIGH,28.421786120591584,2410.17,2268.77,7
0.83303803,1,"charge_per_service, num_services, PaymentMethod_Electronic check",1,86.6,86.6,Month-to-month,Fiber optic,HIGH,31.421786120591584,2721.13,2266.8,8
0.9079332,1,"tenure, charge_per_service, num_services",2,80.6,155.8,Month-to-month,Fiber optic,HIGH,30.421786120591584,2452.0,2226.25,9
0.752973,1,"PaymentMethod_Electronic check, charge_per_service, StreamingMovies_Yes",2,95.15,196.9,Month-to-month,Fiber optic,HIGH,30.421786120591584,2894.63,2179.58,10
0.8644804,0,"PaymentMethod_Electronic check, StreamingMovies_Yes, charge_per_service",8,100.6,819.4,Month-to-month,Fiber optic,HIGH,24.421786120591584,2456.83,2123.88,11
0.90369594,1,"charge_per_service, PaymentMethod_Electronic check, StreamingMovies_Yes",1,74.7,74.7,Month-to-month,Fiber optic,HIGH,31.421786120591584,2347.21,2121.16,12
0.8570749,1,"tenure, MonthlyCharges, TotalCharges",2,79.95,174.45,Month-to-month,Fiber optic,HIGH,30.421786120591584,2432.22,2084.59,13
0.7555849,0,"num_services, charge_per_service, PaymentMethod_Electronic check",2,90.35,190.5,Month-to-month,Fiber optic,HIGH,30.421786120591584,2748.61,2076.81,14
0.9258271,1,"TotalCharges, StreamingTV_Yes, DeviceProtection_Yes",1,71.1,71.1,Month-to-month,Fiber optic,HIGH,31.421786120591584,2234.09,2068.38,15
0.90160495,1,"charge_per_service, StreamingMovies_Yes, tenure",4,80.6,319.15,Month-to-month,Fiber optic,HIGH,28.421786120591584,2290.8,2065.4,16
0.99297196,1,"num_services, StreamingMovies_Yes, tenure",13,106.9,1364.3,Month-to-month,Fiber optic,HIGH,19.421786120591584,2076.19,2061.6,17
0.7640825,1,"tenure, num_services, PaymentMethod_Electronic check",1,85.7,85.7,Month-to-month,Fiber optic,HIGH,31.421786120591584,2692.85,2057.56,18
