SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,num_services,charge_per_service,is_new_customer,no_support,gender_Male,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_bucket_Mid,tenure_bucket_New,top_risk_factors,churn_probability
-0.057047565,-0.26687473,-0.46766514,-0.905311,-0.045901965,0.023740636,-0.29450628,-0.43044618,-0.6132692,-1.2190307,0.006197011,0.09692277,-0.22472548,0.0,-0.36266252,-0.5987267,-0.00091538555,0.0,-0.1215377,0.0,0.48238432,0.0,-0.5127983,0.0,0.25665247,0.0,0.19572623,0.0,0.19782996,-0.044643514,-1.2224532,0.5722585,-1.0230926,-0.18779136,-0.012268299,-0.11666575,"Contract_Two year, charge_per_service, PaymentMethod_Electronic check",0.001001304
0.020142205,0.05408539,0.021222182,0.28783748,-0.025486033,0.12376931,0.4400579,0.055702675,0.15404151,1.4429345,-0.04363028,-0.24579427,-0.08573785,0.0,0.41628656,0.37277043,-0.0032228618,0.0,-0.0408351,0.0,0.51439947,0.0,-0.578465,0.0,-0.10217223,0.0,-0.6844276,0.0,-0.7044589,0.07810355,0.1898955,-0.11638033,-0.8241377,-0.05954271,-0.029998548,0.15783322,"charge_per_service, PaymentMethod_Electronic check, StreamingMovies_Yes",0.6848099
-0.02283407,0.30144134,0.004168577,0.50589234,-0.07244478,-0.03569317,0.50463307,1.0162596,0.7896938,-1.3274202,0.0059006102,0.0639715,-0.15768002,0.0,-0.2273631,-0.39270324,0.12035155,0.0,-0.021862296,0.0,-0.2026939,0.0,-0.20210437,0.0,-0.23151506,0.0,-0.2975367,0.0,-0.33694297,0.0017677706,-1.585653,-0.121827655,-1.0797827,0.39298365,-0.056847252,-0.14612858,"Contract_Two year, charge_per_service, PaymentMethod_Electronic check",0.0562107
-0.015115217,0.06559823,0.08129557,0.6226472,-0.121209376,-0.05570242,0.20114824,-0.21450545,0.89599216,-1.3082577,-0.012165277,0.11461116,0.05578815,0.0,-0.4018192,-0.32149586,0.11545408,0.0,-0.045510337,0.0,-0.35790104,0.0,-0.3254642,0.0,-0.14417987,0.0,-0.38394278,0.0,-0.44352064,0.20192668,0.3634756,-0.15761705,-1.0357685,0.5303961,-0.045761682,0.14215852,"charge_per_service, PaymentMethod_Electronic check, num_services",0.11833711
0.01540815,0.0011265664,0.024293084,-0.90588915,-0.03419696,0.052295253,0.06388591,-0.2694716,-1.0457199,0.1577621,0.006197011,0.3107021,-0.33188337,0.0,0.29010502,0.25083846,-0.00077185105,0.0,-0.11322137,0.0,0.8819952,0.0,0.6864149,0.0,-0.13692039,0.0,0.43014398,0.0,0.50480574,0.14857298,-0.49518287,-0.11581516,-0.60612434,-0.047474347,-0.0014149216,-0.11102172,"num_services, tenure, OnlineBackup_Yes",0.4014592
0.027596476,0.014844827,0.07590563,-1.4492135,-0.03628034,0.051886674,-0.133895,-1.3720691,-1.38207,0.113318324,0.008029698,-0.3074758,-0.21851088,0.0,0.24997464,0.2596698,-0.00083869125,0.0,-0.112370886,0.0,0.36541957,0.0,1.2836797,0.0,-0.3522624,0.0,0.76692605,0.0,0.3449213,-0.011910874,0.10662751,-0.24235071,0.5860645,-0.14732218,-0.010885483,-0.038062237,"tenure, num_services, TotalCharges",0.17229049
0.0018366192,-0.31320217,-0.52191603,-0.43084207,-0.09915089,-0.03761273,0.47770828,0.14258796,0.9784364,-0.31339222,0.005020509,0.16956098,-0.024141828,0.0,0.4052515,-0.5348124,0.11894358,0.0,-0.0744046,0.0,-0.20541595,0.0,-0.0942135,0.0,-0.1344512,0.0,-0.30475295,0.0,-0.60100836,-0.023132378,-0.3572148,0.75974005,-1.107498,-0.23694722,0.18236662,-0.15722345,"PaymentMethod_Electronic check, num_services, PaymentMethod_Credit card (automatic)",0.087967634
-0.0044718166,0.077289626,0.07021483,-0.104108855,-0.13268726,-0.021328378,0.30612683,0.56192535,0.82600874,-1.117585,-0.016183607,0.14583443,0.049374573,0.0,-0.37577024,-0.2191848,0.11545408,0.0,-0.027786324,0.0,-0.2450014,0.0,-0.3131952,0.0,-0.19870286,0.0,-0.36007148,0.0,-0.4029307,0.18558353,0.34145904,-0.17818107,-1.1295458,0.49819764,-0.047362544,0.14131309,"PaymentMethod_Electronic check, charge_per_service, num_services",0.17020957
-0.011243816,-0.071569346,-0.31229293,0.044568975,-0.022787679,0.081817165,0.07081244,-0.23641868,0.1896658,0.65670353,0.018837856,-0.06944455,0.0887642,0.0,0.49869835,0.31198952,-0.0014941575,0.0,-0.10377241,0.0,-0.4359858,0.0,0.8387669,0.0,-0.15771344,0.0,-0.6795019,0.0,0.9457514,0.08801972,0.12894905,-0.14075454,0.5587587,-0.12886493,0.018692816,-0.048770655,"StreamingMovies_Yes, DeviceProtection_Yes, StreamingTV_Yes",0.892002
-0.10396219,-0.003421605,0.03569166,-1.9130807,0.30084315,-0.11685514,-0.47071722,-0.22295648,-0.6352663,-2.4394555,0.007411993,-0.05651251,0.0030114993,0.0,-0.48184332,-0.5383439,-0.0014377093,0.0,0.37320083,0.0,-0.41083857,0.0,0.055341437,0.0,0.33998334,0.0,0.2586501,0.0,0.23296887,-0.067833535,-1.1350746,0.57043403,-1.2152643,-0.18471542,0.009971243,-0.117321804,"charge_per_service, tenure, PaymentMethod_Electronic check",0.00035742696
-0.353549,-0.28545913,0.05494291,0.48256457,-0.059800923,-0.009660091,0.03195799,0.13988535,0.93309635,0.97797936,-0.01659362,-0.029098304,0.0598007,0.0,-0.44103724,0.27377126,-0.0038033887,0.0,-0.035771683,0.0,-0.5082274,0.0,-0.35463974,0.0,-0.18605879,0.0,-0.41628423,0.0,-0.42390952,0.08241022,0.14641665,-0.15330873,0.6221323,-0.18406434,-0.090667635,0.119896665,"charge_per_service, num_services, PaymentMethod_Electronic check",0.590031
0.00045046606,0.07399589,0.061722226,0.020828102,-0.13150172,0.033162367,0.33211002,-0.09098819,0.8426864,-1.4626611,-0.020157898,0.08871956,-0.032095063,0.0,-0.49534088,-0.21920726,0.12745844,0.0,-0.096913606,0.0,-0.28921682,0.0,-0.30081528,0.0,-0.19342925,0.0,-0.29393342,0.0,-0.31336653,0.19162612,0.34429574,0.07954203,-1.2231175,-0.3033207,-0.11293361,0.127485,"charge_per_service, PaymentMethod_Electronic check, num_services",0.036836192
0.019967219,-0.27892888,0.08042551,-0.3270499,-0.0422445,0.032936357,0.89704853,0.6898342,0.18406014,0.6811208,0.009558913,-0.08108317,-0.3239123,0.0,-0.6543702,0.34641922,-0.0021188702,0.0,-0.080234975,0.0,-0.26838857,0.0,-0.41600063,0.0,-0.07300149,0.0,-0.7163531,0.0,0.51427335,0.068225995,0.14652497,-0.15925051,0.99070406,-0.12272854,0.03390195,-0.1308097,"PaymentMethod_Electronic check, MonthlyCharges, StreamingTV_Yes",0.73296124
